이미지 파일,BLIP-2 캡션(원본),BLIP-2 캡션(번역),키워드,수동 평가,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
01_눈 오는 날.jpg,a snowy scene with a bench and a building,"눈이 내리는 풍경, 벤치와 건물이 있는 모습.",눈,O,0.3311874270439148,0.5561458468437195,0.4151507019996643
02_점심.jpg,a white plate with a sandwich and coffee,샌드위치와 커피가 담긴 흰색 접시,"샌드위치, 커피, 노트북",X,0.5896390676498413,0.6751658916473389,0.6295108199119568
03_강의.jpg,a whiteboard with a diagram on it,diagram이 그려진 화이트보드,강의,X,0.39953184127807617,0.557244062423706,0.46538951992988586
04_카페.jpg,a coffee cup with a spoon and spoon holder on a door,문에 있는 숟가락과 숟가락 받침이 있는 커피 컵,커피,O,0.35851937532424927,0.6407862901687622,0.45978784561157227
05_저녁.jpg,a table with two glasses of beer and chopsticks,두 잔의 맥주와 젓가락이 놓인 테이블,맥주,O,0.3788372278213501,0.6608535647392273,0.4815969169139862
01_비행기.jpg,a person sitting on an airplane with a bag,가방을 들고 비행기에서 앉아 있는 사람,"비행기, 앉아있다",O,0.5461710691452026,0.6319660544395447,0.5859447121620178
02_놀이공원.jpg,a picture of a roller coaster with people on it,사람들이 탄 롤러코스터 사진,어트랙션(놀이기구),O,0.4954603314399719,0.5145570635795593,0.5048282146453857
03_가챠.jpg,two people holding up three different colored balls,두 사람이 세 개의 다른 색깔의 공을 들고 있다.,가챠(랜덤뽑기..?),X,0.35714882612228394,0.33758336305618286,0.34709057211875916
04_저녁.jpg,a tray of sushi and a beer on a table,테이블 위에 스시 한 접시와 맥주 한 잔.,초밥,O,0.3656415343284607,0.568259060382843,0.4449705183506012
05_스티커사진.jpg,a sticker book with pictures of girls on it,소녀 그림 스티커 북,사진,O,0.518458366394043,0.5923267602920532,0.5529364347457886
1st_img.jpg,a group of people sitting on a train,기차에 앉아 있는 사람들 그룹,"음식 관련 단어, 기차",X,0.43805503845214844,0.48765021562576294,0.461524099111557
